run	model	fingerprint	git	started
fzcustomcnn_custom	fzcustomcnn_custom	259fc61ae980	b5b9cc6	backfilled-precodechange
fzmnas05_mnasnet0_5	fzmnas05_mnasnet0_5	259fc61ae980	b5b9cc6	backfilled-precodechange
fzmnas10_mnasnet1_0	fzmnas10_mnasnet1_0	259fc61ae980	b5b9cc6	backfilled-precodechange
fzmnv3l_mobilenet_v3_large	fzmnv3l_mobilenet_v3_large	259fc61ae980	b5b9cc6	backfilled-precodechange
fzmnv3s_mobilenet_v3_small	fzmnv3s_mobilenet_v3_small	259fc61ae980	b5b9cc6	backfilled-precodechange
fzr18_resnet18	fzr18_resnet18	259fc61ae980	b5b9cc6	backfilled-precodechange
fzr18stem_resnet18_stem	fzr18stem_resnet18_stem	259fc61ae980	b5b9cc6	backfilled-precodechange
fzregy400_regnet_y_400mf	fzregy400_regnet_y_400mf	259fc61ae980	b5b9cc6	backfilled-precodechange
fzshuf05_shufflenet_v2_x0_5	fzshuf05_shufflenet_v2_x0_5	259fc61ae980	b5b9cc6	backfilled-precodechange
fzshuf10_shufflenet_v2_x1_0	fzshuf10_shufflenet_v2_x1_0	259fc61ae980	b5b9cc6	backfilled-precodechange
fzsqueeze_squeezenet1_1	fzsqueeze_squeezenet1_1	259fc61ae980	b5b9cc6	backfilled-precodechange
fzevitb0_timm_efficientvit_b0	fzevitb0_timm_efficientvit_b0	259fc61ae980	b5b9cc6	backfilled-precodechange
fzhcnas_timm_hardcorenas_a	fzhcnas_timm_hardcorenas_a	259fc61ae980	b5b9cc6	backfilled-precodechange
fzlcnet100_timm_lcnet_100	fzlcnet100_timm_lcnet_100	259fc61ae980	b5b9cc6	backfilled-precodechange
fzregx002_timm_regnetx_002	fzregx002_timm_regnetx_002	259fc61ae980	b5b9cc6	backfilled-precodechange
fzsemnas_timm_semnasnet_075	fzsemnas_timm_semnasnet_075	259fc61ae980	b5b9cc6	backfilled-precodechange
fztfmnv3min_timm_tf_mobilenetv3_small_minimal_100	fztfmnv3min_timm_tf_mobilenetv3_small_minimal_100	259fc61ae980	b5b9cc6	backfilled-precodechange
fztinyc_timm_tinynet_c	fztinyc_timm_tinynet_c	259fc61ae980	b5b9cc6	backfilled-precodechange
fztinyd_timm_tinynet_d	fztinyd_timm_tinynet_d	259fc61ae980	b5b9cc6	backfilled-precodechange
fztinye_timm_tinynet_e	fztinye_timm_tinynet_e	259fc61ae980	b5b9cc6	backfilled-precodechange
fztmnv3s_timm_mobilenetv3_small_100	fztmnv3s_timm_mobilenetv3_small_100	259fc61ae980	b5b9cc6	backfilled-precodechange
fzv2atto_timm_convnextv2_atto	fzv2atto_timm_convnextv2_atto	259fc61ae980	b5b9cc6	backfilled-precodechange
fzv2femto_timm_convnextv2_femto	fzv2femto_timm_convnextv2_femto	259fc61ae980	b5b9cc6	backfilled-precodechange
fzv2pico_timm_convnextv2_pico	fzv2pico_timm_convnextv2_pico	259fc61ae980	b5b9cc6	backfilled-precodechange
fzspnas_timm_spnasnet_100	fzspnas_timm_spnasnet_100	259fc61ae980	53f451b	2026-08-18T07:55:56+00:00
